## Complete genomes: Viruses (taxid 10239) filtered by host 'bacteria'
"Genome"	"Accession"	"Source information"	"Number of segments"	"Genome length"	"Number of proteins"	"Genome Neighbors"	"Host"	"Date completed"	"Date updated"
Acholeplasma phage MV-L1	NC_001341	strain:JA-1	-	4491 nt	4	-	bacteria	07/02/1991	02/10/2015	
Acholeplasma virus L2	NC_001447	-	-	11965 nt	14	-	bacteria	06/11/1993	02/10/2015	
Achromobacter phage 83-24	NC_028834	-	-	48216 nt	61	-	bacteria	01/05/2016	01/05/2016	
Achromobacter phage JWAlpha	NC_023556	strain:JWAlpha	-	72329 nt	91	1	bacteria	03/04/2014	03/04/2014	
Achromobacter phage JWF	NC_029075	-	-	81541 nt	118	-	bacteria	02/05/2016	02/05/2016	
Achromobacter phage JWX	NC_028768	-	-	49714 nt	67	-	bacteria	01/05/2016	01/05/2016	
Achromobacter phage phiAxp-1	NC_029033	-	-	45045 nt	64	-	bacteria	01/05/2016	03/09/2016	
Achromobacter phage phiAxp-2	NC_029106	-	-	62220 nt	86	-	bacteria	02/05/2016	02/05/2016	
Achromobacter phage phiAxp-3	NC_028908	-	-	72825 nt	80	-	bacteria	01/05/2016	06/27/2017	
Acinetobacter phage AB3	NC_021337	-	-	31185 nt	29	-	bacteria	06/03/2013	01/05/2016	
Acinetobacter phage AP205	NC_002700	-	-	4268 nt	4	-	bacteria	03/18/2001	04/17/2009	
Acinetobacter phage AP22	NC_017984	-	-	46387 nt	89	-	bacteria	05/14/2012	05/29/2012	
Acinetobacter phage Abp1	NC_021316	-	-	42185 nt	54	-	bacteria	06/03/2013	07/15/2013	
Acinetobacter phage Ac42	NC_014660	strain:Ac42	-	167716 nt	255	-	bacteria	11/12/2010	11/12/2010	
Acinetobacter phage Acj61	NC_014661	-	-	164093 nt	241	-	bacteria	11/12/2010	11/12/2010	
Acinetobacter phage Acj9	NC_014663	-	-	169947 nt	253	-	bacteria	11/12/2010	11/12/2010	
Acinetobacter phage Bphi-B1251	NC_019541	-	-	45364 nt	62	-	bacteria	11/21/2012	03/04/2015	
Acinetobacter phage Fri1	NC_028848	-	-	41805 nt	54	-	bacteria	01/05/2016	01/05/2016	
Acinetobacter phage IME_AB3	NC_023590	-	-	43050 nt	57	-	bacteria	03/04/2014	03/04/2014	
Acinetobacter phage LZ35	NC_031117	-	-	44885 nt	83	-	bacteria	09/23/2016	09/23/2016	
Acinetobacter phage Petty	NC_023570	-	-	40739 nt	45	-	bacteria	03/04/2014	07/08/2014	
Acinetobacter phage Presley	NC_023581	-	-	77792 nt	95	-	bacteria	03/04/2014	07/08/2014	
